Words;Meanings;Words_trimmed;Meanings_trimmed;CN_Words_NLLB;CN_Meanings_NLLB
introduceerde;"gebruikte voor het eerst; introduceren-introduceerde-geïntroduceerd";introduceerde;gebruikte voor het eerst;引入;首次使用
toenmalige;van die tijd;toenmalige;van die tijd;当时的;那些时候
optimistisch;positief denkend;optimistisch;positief denkend;乐观;积极思考
heen (over … heen);verder dan;heen (over … heen);verder dan;往往 (过...过);其他
dynamiek (de);ondernemen, actief zijn;dynamiek;ondernemen, actief zijn;动态;企业,活动
handelsgeest (de);altijd manieren zoekend om handel te drijven;handelsgeest;altijd manieren zoekend om handel te drijven;商业精神;总是寻找交易方式
durf (de);moed, de kracht om iets te doen wat risico’s inhoudt;durf;moed, de kracht om iets te doen wat risico’s inhoudt;勇敢;勇气,力量去做一些冒险的事情
geassocieerd;"(in je denken) verbonden; associëren-associeerde-geassocieerd";geassocieerd;(in je denken) verbonden;相关;连接在一起
gewelddadige;met geweld;gewelddadige;met geweld;暴力;暴力
handelwijze (de);manier van optreden;handelwijze;manier van optreden;行为方式;行为方式
rooftochten;reizen om goederen te stelen;rooftochten;reizen om goederen te stelen;掠夺者;偷货旅行
kolonisatie (de);het proces om de baas te worden in landen of gebieden;kolonisatie;het proces om de baas te worden in landen of gebieden;殖民化;成为国家或地区的主宰的过程
schandelijk;heel slecht en erg;schandelijk;heel slecht en erg;尬的;非常糟糕,非常糟糕
bril (de);"glasses/lunettes/Brille/gözlük; brillen";bril;"glasses/lunettes/Brille/gözlük; brillen";眼镜;"玻璃/眼镜/眼镜/眼镜;眼镜"
twintigste-eeuwer;iemand die in de twintigste eeuw leeft;twintigste-eeuwer;iemand die in de twintigste eeuw leeft;二十世纪;活在20世纪的人
schaamte (de);een vervelend gevoel over iets (slechts) wat je hebt gedaan;schaamte;een vervelend gevoel over iets (slechts) wat je hebt gedaan;羞耻;对于你做过的事情感到不满
vergaderen;"een werkbespreking houden; vergaderen-vergaderde-vergaderd";vergaderen;een werkbespreking houden;会议;举行工作会谈
twijfelen;"niet zeker zijn van; twijfelen-twijfelde-getwijfeld";twijfelen;niet zeker zijn van;怀疑;不确定
locaties;"plaatsen; de locatie";locaties;"plaatsen; de locatie";位置;"地方;地点"
tot in detail;tot in de puntjes, ook de kleine dingen;tot in detail;tot in de puntjes, ook de kleine dingen;详细说明;连小事都不过,
ontdekking (de);"het ontdekken, het vinden; ontdekkingen";ontdekking;"het ontdekken, het vinden; ontdekkingen";发现;发现,发现,发现
plenaire;"met iedereen; plenair";plenaire;"met iedereen; plenair";议会;"任何人都有;"
onderweg;op weg, tijdens de reis;onderweg;op weg, tijdens de reis;在路上;在路上,在旅行中
samenvattend;kort, resumerend;samenvattend;kort, resumerend;总结;简短的概述
verhuisde;"ging ergens anders wonen; verhuizen-verhuisde-is verhuisd";verhuisde;ging ergens anders wonen;搬家;搬到别的地方
opvielen;"trokken de aandacht; opvallen-viel op-is opgevallen";opvielen;trokken de aandacht;起;引起了人们的注意
waar je aan toe bent;je weet wat je eraan hebt;waar je aan toe bent;je weet wat je eraan hebt;你正在做的事情;你知道你有什么好处.
bleek;blijken-bleek-is gebleken;bleek;blijken-bleek-is gebleken;然然;显白显白
leek niet op;"was heel anders dan; lijken-leek-geleken";leek niet op;was heel anders dan;没有什么样子;完全不同于
bourgondische;genietend van het goede leven: eten en drinken, luxe;bourgondische;genietend van het goede leven: eten en drinken, luxe;布尔格兰语;他们享受享受美好的生活,吃喝,享受奢品.
plaatsgemaakt voor;wordt vervangen door;plaatsgemaakt voor;wordt vervangen door;已被放入;取代为
verankerd;stevig vast;verankerd;stevig vast;固定;坚固地着
niet zozeer;niet echt;niet zozeer;niet echt;没有那么多;没有.
verwezen naar;"bedoeld; verwijzen-verwees-verwezen";verwezen naar;bedoeld;引用;适用于
volkskarakter (het);het karakter van een volk, gewoontes en opvattingen die typisch zijn voor een;volkskarakter;het karakter van een volk, gewoontes en opvattingen die typisch zijn voor een;人民性;民族的性格,习惯和观念,
zuinigheid (de);zuinig zijn, niet veel geld uitgeven;zuinigheid;zuinig zijn, niet veel geld uitgeven;节约性;节省,不花太多钱
gebruikelijke;wat je gewend bent;gebruikelijke;wat je gewend bent;常见的;你习惯了什么
plakjes;"een dun stukje van iets wat je kunt eten; het plakje";plakjes;"een dun stukje van iets wat je kunt eten; het plakje";片;一个可以吃的东西的薄片,
culinair;wat betreft eten of koken;culinair;wat betreft eten of koken;食;对于食物或
openslaat;"een boek opendoet; openslaan-sloeg open-opengeslagen";openslaat;een boek opendoet;打开;开了一本书
zuiderburen;de mensen in het land ten zuiden van je eigen land. Hier: de Belgen;zuiderburen;de mensen in het land ten zuiden van je eigen land. Hier: de Belgen;南方地区;现在,我们在这个地方,
bouillon (de);vochtige basis voor soep gemaakt van vlees, vis of groente;bouillon;vochtige basis voor soep gemaakt van vlees, vis of groente;酒;的料,由肉类,鱼类或蔬菜制成
saffraan (de);een dure gele specerij afkomstig van een bloem;saffraan;een dure gele specerij afkomstig van een bloem;子;一个花的昂贵的黄香料
fantasievolle;met veel creativiteit gemaakt;fantasievolle;met veel creativiteit gemaakt;想象力;创造性地制作
ingrediënten;"producten die je gebruikt om een maaltijd te maken; het ingrediënt";ingrediënten;"producten die je gebruikt om een maaltijd te maken; het ingrediënt";材料;"食物中的产品;"
verwerkt;gebruikt;verwerkt;gebruikt;处理;使用
brandstof (de);iets wat je gebruikt om een machine te laten werken, bijvoorbeeld gas of;brandstof;iets wat je gebruikt om een machine te laten werken, bijvoorbeeld gas of;燃料;任何东西,你用来让机器运行,比如气体或
fabrieksarbeiders;"arbeiders die in een fabriek werken; de fabrieksarbeider";fabrieksarbeiders;"arbeiders die in een fabriek werken; de fabrieksarbeider";工厂工人;"工人在工厂工作;工厂工人"
huishoudscholen;"scholen waarop meisjes leerden een goede huisvrouw te zijn; de";huishoudscholen;"scholen waarop meisjes leerden een goede huisvrouw te zijn; de";家庭学校;"校园,女生学会如何做好家庭主妇;"
industriesteden;"stad waar veel industrie is; de industriestad:";industriesteden;"stad waar veel industrie is; de industriestad:";工业城市;工业城市:
arbeidersklasse (de);maatschappelijke klasse van de arbeiders;arbeidersklasse;maatschappelijke klasse van de arbeiders;工人阶级;工人社会阶级
voedzame;geeft veel energie;voedzame;geeft veel energie;食;能给你带来很多能量
klaarmaken;"maken (van eten); klaarmaken-maakte klaar-klaargemaakt";klaarmaken;maken (van eten);准备;制 (制)
vereenvoudigden;"maakten eenvoudiger; vereenvoudigen-vereenvoudigden-vereenvoudigd";vereenvoudigden;maakten eenvoudiger;简单化;让人更容易
gerechten;"onderdelen van de maaltijd, bijvoorbeeld een salade, soep of spaghetti; het";gerechten;"onderdelen van de maaltijd, bijvoorbeeld een salade, soep of spaghetti; het";食品;"食物中的零部件,例如沙拉,或西班牙菜;"
sauzen;"sauce/sauce/Soße/sos; de saus";sauzen;"sauce/sauce/Soße/sos; de saus";汁;"////;"
knoflook (de);garlic/ail/Knoblauch/sarmısak;knoflook;garlic/ail/Knoblauch/sarmısak;子;子/子/子/子
achterwege laten;niet gebruiken;achterwege laten;niet gebruiken;放弃;没有使用
gedoe;veel moeite;gedoe;veel moeite;问题;很难
pakjes;"een papieren doos, bijvoorbeeld een pak suiker; het pakje";pakjes;"een papieren doos, bijvoorbeeld een pak suiker; het pakje";包装;"一个纸箱,例如一包糖;"
geïntroduceerd;"iets nieuws brengen; introduceren-introduceerde-geïntroduceerd";geïntroduceerd;iets nieuws brengen;引入;带来新的东西
room (de);cream/crème/Sahne/kaymak;room;cream/crème/Sahne/kaymak;;粉/粉/菜/kaymak
maïzena (de);cornstarch/maïzena/Maizena/mısır nişastası;maïzena;cornstarch/maïzena/Maizena/mısır nişastası;玉米;麦粉/麦粉/麦麦/麦麦粉/麦粉
toegevoegd;"erbij gedaan; toevoegen-voegde toe-toegevoegd";toegevoegd;erbij gedaan;加入;加入
boter (de);butter/beurre/Butter/tereyağı;boter;butter/beurre/Butter/tereyağı;油;油/油/油/油/油
slaolie (de);algemene naam voor olie die in de keuken gebruikt wordt (meestal van soja);slaolie;algemene naam voor olie die in de keuken gebruikt wordt (meestal van soja);油;用油的通用名称 (通常是大豆)
bouillonblokjes;"droge vorm van bouillon in een kubusvorm geperst; het bouillonblokje";bouillonblokjes;"droge vorm van bouillon in een kubusvorm geperst; het bouillonblokje";子;"干式泡,压成圆形;泡块"
arbeidersmeisjes;"meisje uit de arbeidersklasse; het arbeidersmeisje";arbeidersmeisjes;"meisje uit de arbeidersklasse; het arbeidersmeisje";工人女;"工人阶级的女孩;"
onderwijzers;"de leraar; de onderwijzer";onderwijzers;"de leraar; de onderwijzer";教师;"教授;老师"
treinconducteurs;"de persoon die de kaartjes controleert in de trein; de treinconducteur";treinconducteurs;"de persoon die de kaartjes controleert in de trein; de treinconducteur";铁路运营商;"检查车辆的车员;"
notarissen;"de persoon die de papieren in orde maakt als je bijvoorbeeld een huis koopt; de";notarissen;"de persoon die de papieren in orde maakt als je bijvoorbeeld een huis koopt; de";证券证券;购买房子时,
arbeiderspot (de);een eenvoudige maaltijd;arbeiderspot;een eenvoudige maaltijd;工人;一个简单的餐饮
raakte wijdverbreid;"werd in brede kring bekend; wijdverbreid raken";raakte wijdverbreid;"werd in brede kring bekend; wijdverbreid raken";已广泛传播;广受欢迎,
kooktraditie (de);de gewoonte om op een bepaalde manier te koken;kooktraditie;de gewoonte om op een bepaalde manier te koken;传统;习惯用某种方式做饭
exemplaren;"onderdelen uit de collectie, boeken; het exemplaar";exemplaren;"onderdelen uit de collectie, boeken; het exemplaar";标本;"收藏物,书籍;副本"
redacteur (de);iemand die teksten schrijft en verbetert voor kranten of boeken;redacteur;iemand die teksten schrijft en verbetert voor kranten of boeken;编辑;写作和改进报纸或书籍的文本的人
dadelijk;direct, binnen een korte tijd;dadelijk;direct, binnen een korte tijd;立即;立即,在不久的时间内
is te danken aan;de oorzaak is;is te danken aan;de oorzaak is;由于;原因是
lezers;"mensen die lezen; de lezer";lezers;"mensen die lezen; de lezer";读者;读者,读者
editie (de);"uitgave van een boek; edities";editie;"uitgave van een boek; edities";编辑;"出版书;出版书"
geprezen;prijzen-prees-geprezen: zeggen dat iets heel goed is;geprezen;prijzen-prees-geprezen: zeggen dat iets heel goed is;赞扬;赞美赞美:说某事很好
de schuld krijgen van;als verantwoordelijk worden gezien voor een fout;de schuld krijgen van;als verantwoordelijk worden gezien voor een fout;受到责任;作为对错误的责任者
gebrekkig;beperkt, niet compleet;gebrekkig;beperkt, niet compleet;缺陷;限量,不完全
cliché-eigenschappen;stereotiepe eigenschappen waarvan heel vaak wordt gezegd dat die typisch zijn;cliché-eigenschappen;stereotiepe eigenschappen waarvan heel vaak wordt gezegd dat die typisch zijn;陈词滥调的特性;常被说是典型的,
historici;"deskundigen op het gebied van de geschiedenis; de historicus";historici;"deskundigen op het gebied van de geschiedenis; de historicus";历史学家;"历史学家;历史学家"
hebben hun bedenkingen bij;hebben bezwaar tegen;hebben hun bedenkingen bij;hebben bezwaar tegen;提及他们的疑问;否决
clichébeeld (het);"stereotiep; wat veel mensen typisch vinden voor (de Nederlander)";clichébeeld;"stereotiep; wat veel mensen typisch vinden voor (de Nederlander)";陈述;许多人认为 (荷兰人) 典型的
Lage Landen;de naam die soms gebruikt wordt voor Nederland, Nederland en Vlaanderen, of;Lage Landen;de naam die soms gebruikt wordt voor Nederland, Nederland en Vlaanderen, of;低收入国家;" occasionally used for the Netherlands, the Netherlands and Flanders;或"
aantreft;"vinden of ontmoeten; aantreffen-trof aan-aangetroffen";aantreft;vinden of ontmoeten;发现;找到或遇见
koopmanstraditie (de);de manier waarop kooplui al eeuwenlang denken, werken en leven;koopmanstraditie;de manier waarop kooplui al eeuwenlang denken, werken en leven;商人传统;商人已经思考,工作和生活了几个世纪.
Vlaanderen;het deel van België waar men Nederlands (Vlaams) spreekt;Vlaanderen;het deel van België waar men Nederlands (Vlaams) spreekt;弗兰格斯;波士顿的荷兰语 (弗拉姆语)
waardeerden;"vonden heel erg goed; waarderen-waardeerde-gewaardeerd";waardeerden;vonden heel erg goed;值得关注;非常喜欢
uitgeven;"geld besteden; uitgeven-gaf uit-uitgegeven";uitgeven;geld besteden;发行;消费资金
ontbrak;"miste, er niet was; ontbreken-ontbrak-ontbroken";ontbrak;miste, er niet was;缺失;错过了,没有了
keizer (de);"emperor/empereur/Kaiser/kayser; keizers";keizer;"emperor/empereur/Kaiser/kayser; keizers";皇帝;"皇帝/皇帝/皇帝/凯撒;皇帝"
uniek;bijzonder, je vindt het nergens anders;uniek;bijzonder, je vindt het nergens anders;唯一的;特别,你别无处可见
kwaliteiten;"een goede eigenschap; de kwaliteit";kwaliteiten;"een goede eigenschap; de kwaliteit";质量;"良好的特性;"
koopmansmoraal;de normen en waarden van de koopman;koopmansmoraal;de normen en waarden van de koopman;商人道德;商人的标准和价值观
kwamen tot ontwikkeling;een positieve verandering, beter en sterker worden;kwamen tot ontwikkeling;een positieve verandering, beter en sterker worden;发展;变得更好,更强大
toegegeven;"zeggen dat iets toch wel klopt; toegeven-gaf toe-toegegeven";toegegeven;zeggen dat iets toch wel klopt;允许;说有些事情是真的
kwam tot de conclusie;tot de conclusie komen: een conclusie hebben nadat je hebt nagedacht;kwam tot de conclusie;tot de conclusie komen: een conclusie hebben nadat je hebt nagedacht;达成了结论;结论:在思考之后,做出结论
prinses (de);"de dochter van de koning of de vrouw van de prins; prinsessen";prinses;"de dochter van de koning of de vrouw van de prins; prinsessen";亲王女;"皇后的女儿或王子的妻子;公主"
hechten aan;"belangrijk of erg prettig vinden; hechten-hechtte-gehecht";hechten aan;belangrijk of erg prettig vinden;接;重要或非常愉快
gastvrijheid (de);je gasten goed behandelen;gastvrijheid;je gasten goed behandelen;客人;善待你的客人
nuchterheid (de);de dingen praktisch en zakelijk bekijken;nuchterheid;de dingen praktisch en zakelijk bekijken;清醒;实用和商业的看法
beheersing (de);jezelf goed onder controle houden;beheersing;jezelf goed onder controle houden;控制;保持自我控制
pragmatisme;praktische oplossingen zoeken, de zaak niet ingewikkelder maken dan hij is;pragmatisme;praktische oplossingen zoeken, de zaak niet ingewikkelder maken dan hij is;实践主义;寻求实际解决方案,不要让事情变得比现实更复杂
intense;"heel sterk; intens";intense;"heel sterk; intens";强烈的;"非常强;"
